# runid Ohd Ohf Ohe rhod rhof rhoe sigma1 sigma2 hf Ldomain MAXlevel delta tmax SBATCH_JOB_NAME SBATCH_TIME SBATCH_NODES TOTAL_CPUS SBATCH_ARRAY
2500 9.1e-5 10 5.0e-3 1.2e-3 0.9 1 0.67 0.33 0.03 3 11 0.01 0.2 2500_to_2515_start 96:00:00 2 256 2500-2515
2501 9.1e-5 10 2.5e-2 1.2e-3 0.9 1 0.67 0.33 0.03 3 11 0.01 0.2 2500_to_2515_start 96:00:00 2 256 2500-2515
2502 9.1e-5 10 5.0e-3 1.2e-3 0.9 1 0.67 0.33 0.05 3 11 0.01 0.2 2500_to_2515_start 96:00:00 2 256 2500-2515
2503 9.1e-5 10 2.5e-2 1.2e-3 0.9 1 0.67 0.33 0.05 3 11 0.01 0.2 2500_to_2515_start 96:00:00 2 256 2500-2515
2504 9.1e-5 20 5.0e-3 1.2e-3 0.9 1 0.67 0.33 0.03 3 11 0.01 0.25 2500_to_2515_start 96:00:00 2 256 2500-2515
2505 9.1e-5 20 2.5e-2 1.2e-3 0.9 1 0.67 0.33 0.03 3 11 0.01 0.25 2500_to_2515_start 96:00:00 2 256 2500-2515
2506 9.1e-5 20 5.0e-3 1.2e-3 0.9 1 0.67 0.33 0.05 3 11 0.01 0.25 2500_to_2515_start 96:00:00 2 256 2500-2515
2507 9.1e-5 20 2.5e-2 1.2e-3 0.9 1 0.67 0.33 0.05 3 11 0.01 0.25 2500_to_2515_start 96:00:00 2 256 2500-2515
2508 9.1e-5 30 5.0e-3 1.2e-3 0.9 1 0.67 0.33 0.03 3 11 0.01 0.5 2500_to_2515_start 96:00:00 2 256 2500-2515
2509 9.1e-5 30 2.5e-2 1.2e-3 0.9 1 0.67 0.33 0.03 3 11 0.01 0.5 2500_to_2515_start 96:00:00 2 256 2500-2515
2510 9.1e-5 30 5.0e-3 1.2e-3 0.9 1 0.67 0.33 0.05 3 11 0.01 0.5 2500_to_2515_start 96:00:00 2 256 2500-2515
2511 9.1e-5 30 2.5e-2 1.2e-3 0.9 1 0.67 0.33 0.05 3 11 0.01 0.5 2500_to_2515_start 96:00:00 2 256 2500-2515
2512 9.1e-5 40 5.0e-3 1.2e-3 0.9 1 0.67 0.33 0.03 3 11 0.01 0.5 2500_to_2515_start 96:00:00 2 256 2500-2515
2513 9.1e-5 40 2.5e-2 1.2e-3 0.9 1 0.67 0.33 0.03 3 11 0.01 0.5 2500_to_2515_start 96:00:00 2 256 2500-2515
2514 9.1e-5 40 5.0e-3 1.2e-3 0.9 1 0.67 0.33 0.05 3 11 0.01 0.5 2500_to_2515_start 96:00:00 2 256 2500-2515
2515 9.1e-5 40 2.5e-2 1.2e-3 0.9 1 0.67 0.33 0.05 3 11 0.01 0.5 2500_to_2515_start 96:00:00 2 256 2500-2515
