id;Ohd;Ohf;Ohe;rho_d;rho_f;rho_e;s1;s2;hf;Ldomain;delta;raw
2500;9.1e-05;10.0;0.005;0.0012;0.9;1.0;0.67;0.33;0.03;3.0;0.01;2500_Ohd_9p1e-5_Ohf_10_Ohe_5p0e-3_rho_d_1p2e-3_rho_f_0p9_rho_e_1_s1_0p67_s2_0p33_hf_0p03_Ldomain_3_delta_0p01
2501;9.1e-05;10.0;0.025;0.0012;0.9;1.0;0.67;0.33;0.03;3.0;0.01;2501_Ohd_9p1e-5_Ohf_10_Ohe_2p5e-2_rho_d_1p2e-3_rho_f_0p9_rho_e_1_s1_0p67_s2_0p33_hf_0p03_Ldomain_3_delta_0p01
2502;9.1e-05;10.0;0.005;0.0012;0.9;1.0;0.67;0.33;0.05;3.0;0.01;2502_Ohd_9p1e-5_Ohf_10_Ohe_5p0e-3_rho_d_1p2e-3_rho_f_0p9_rho_e_1_s1_0p67_s2_0p33_hf_0p05_Ldomain_3_delta_0p01
2503;9.1e-05;10.0;0.025;0.0012;0.9;1.0;0.67;0.33;0.05;3.0;0.01;2503_Ohd_9p1e-5_Ohf_10_Ohe_2p5e-2_rho_d_1p2e-3_rho_f_0p9_rho_e_1_s1_0p67_s2_0p33_hf_0p05_Ldomain_3_delta_0p01
2504;9.1e-05;20.0;0.005;0.0012;0.9;1.0;0.67;0.33;0.03;3.0;0.01;2504_Ohd_9p1e-5_Ohf_20_Ohe_5p0e-3_rho_d_1p2e-3_rho_f_0p9_rho_e_1_s1_0p67_s2_0p33_hf_0p03_Ldomain_3_delta_0p01
2505;9.1e-05;20.0;0.025;0.0012;0.9;1.0;0.67;0.33;0.03;3.0;0.01;2505_Ohd_9p1e-5_Ohf_20_Ohe_2p5e-2_rho_d_1p2e-3_rho_f_0p9_rho_e_1_s1_0p67_s2_0p33_hf_0p03_Ldomain_3_delta_0p01
2506;9.1e-05;20.0;0.005;0.0012;0.9;1.0;0.67;0.33;0.05;3.0;0.01;2506_Ohd_9p1e-5_Ohf_20_Ohe_5p0e-3_rho_d_1p2e-3_rho_f_0p9_rho_e_1_s1_0p67_s2_0p33_hf_0p05_Ldomain_3_delta_0p01
2507;9.1e-05;20.0;0.025;0.0012;0.9;1.0;0.67;0.33;0.05;3.0;0.01;2507_Ohd_9p1e-5_Ohf_20_Ohe_2p5e-2_rho_d_1p2e-3_rho_f_0p9_rho_e_1_s1_0p67_s2_0p33_hf_0p05_Ldomain_3_delta_0p01
2508;9.1e-05;30.0;0.005;0.0012;0.9;1.0;0.67;0.33;0.03;3.0;0.01;2508_Ohd_9p1e-5_Ohf_30_Ohe_5p0e-3_rho_d_1p2e-3_rho_f_0p9_rho_e_1_s1_0p67_s2_0p33_hf_0p03_Ldomain_3_delta_0p01
2509;9.1e-05;30.0;0.025;0.0012;0.9;1.0;0.67;0.33;0.03;3.0;0.01;2509_Ohd_9p1e-5_Ohf_30_Ohe_2p5e-2_rho_d_1p2e-3_rho_f_0p9_rho_e_1_s1_0p67_s2_0p33_hf_0p03_Ldomain_3_delta_0p01
2510;9.1e-05;30.0;0.005;0.0012;0.9;1.0;0.67;0.33;0.05;3.0;0.01;2510_Ohd_9p1e-5_Ohf_30_Ohe_5p0e-3_rho_d_1p2e-3_rho_f_0p9_rho_e_1_s1_0p67_s2_0p33_hf_0p05_Ldomain_3_delta_0p01
2511;9.1e-05;30.0;0.025;0.0012;0.9;1.0;0.67;0.33;0.05;3.0;0.01;2511_Ohd_9p1e-5_Ohf_30_Ohe_2p5e-2_rho_d_1p2e-3_rho_f_0p9_rho_e_1_s1_0p67_s2_0p33_hf_0p05_Ldomain_3_delta_0p01
2512;9.1e-05;40.0;0.005;0.0012;0.9;1.0;0.67;0.33;0.03;3.0;0.01;2512_Ohd_9p1e-5_Ohf_40_Ohe_5p0e-3_rho_d_1p2e-3_rho_f_0p9_rho_e_1_s1_0p67_s2_0p33_hf_0p03_Ldomain_3_delta_0p01
2513;9.1e-05;40.0;0.025;0.0012;0.9;1.0;0.67;0.33;0.03;3.0;0.01;2513_Ohd_9p1e-5_Ohf_40_Ohe_2p5e-2_rho_d_1p2e-3_rho_f_0p9_rho_e_1_s1_0p67_s2_0p33_hf_0p03_Ldomain_3_delta_0p01
2514;9.1e-05;40.0;0.005;0.0012;0.9;1.0;0.67;0.33;0.05;3.0;0.01;2514_Ohd_9p1e-5_Ohf_40_Ohe_5p0e-3_rho_d_1p2e-3_rho_f_0p9_rho_e_1_s1_0p67_s2_0p33_hf_0p05_Ldomain_3_delta_0p01
2515;9.1e-05;40.0;0.025;0.0012;0.9;1.0;0.67;0.33;0.05;3.0;0.01;2515_Ohd_9p1e-5_Ohf_40_Ohe_2p5e-2_rho_d_1p2e-3_rho_f_0p9_rho_e_1_s1_0p67_s2_0p33_hf_0p05_Ldomain_3_delta_0p01
